new entry "CL_Target_GrimEnd_Zombie"
type "PassiveData"
data "DisplayName" "h081b6aeag04c8g4b18gac40gc2d7dd3cb6c8;1"
data "Description" "hd6ca677dgac1dg44c8g8217g1991c20f616f;2"
data "DescriptionParams" "DealDamage(WisdomModifier+WisdomModifier,Necrotic)"
data "Icon" "Mailme_DK_Miasma"
data "PriorityOrder" "2"
data "Properties" "Highlighted"
data "StatsFunctorContext" "OnAttacked"
data "Conditions" "IsMeleeAttack() and HasDamageEffectFlag(DamageFlags.Hit) and not SpellTypeIs(SpellType.Throw)"
data "StatsFunctors" "ApplyStatus(SELF,PASSIVE_ARMOR_OF_AGATHYS_ATTACKER,100,0);DealDamage(SWAP,WisdomModifier+WisdomModifier,Necrotic,Magical)" 
