new entry "CL_Target_SkeletonFinger"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerShortRest"
data "Level" "0"
data "SpellProperties" "Unlock()"
data "TargetRadius" "MeleeMainWeaponRange"
data "TargetConditions" "Item() and (Locked() or Tagged('KNOCK_TARGET')) and not Tagged('KNOCKBLOCK') and not HasStatus('ARCANE_LOCK')"
data "Icon" "Spell_Transmutation_Knock"
data "DisplayName" "h35069ed4g06a4g481ag8dfdg03963b207d18"
data "Description" "h7a726ec1g6911g4cadg8e91g36207c377083"
data "CastTextEvent" "Cast"
data "PreviewCursor" "Cast"
data "CastSound" "Spell_Cast_Utility_Knock_L1to3"
data "VocalComponentSound" "Vocal_Component_Knock"
data "TargetSound" "Spell_Impact_Utility_Knock_L1to3"
data "UseCosts" "ActionPoint:1;"
data "SpellAnimation" "8b8bb757-21ce-4e02-a2f3-97d55cf2f90b,,;6606c30b-be1c-4f17-ae6b-1a591c80b18c,,;f4ac302b-1569-404f-bd52-1fe443e265df,479ee5da-2967-41e1-b7d1-a94e864a5f25,79323098-edb3-4993-ba50-9b5f705e9878;e8a5c57f-855b-4227-acaa-11e8ce8d7d64,,;7bb52cd4-0b1c-4926-9165-fa92b75876a3,,;2b81c18b-9698-4262-a623-932c2bb1296d,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasHighGroundRangeExtension;Stealth"
