new entry "CL_Target_Fleabite"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "Spellschool" "Evocation"
data "TargetRadius" "3"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "SpellProperties" "DealDamage(1,Piercing)"
data "DescriptionParams" "DealDamage(1,Piercing)"
data "TooltipDamageList" "DealDamage(1,Piercing)"
data "TooltipAttackSave" "RangedSpellAttack"
data "TargetConditions" "not Self() and not Dead()"
data "SpellFlags" "HasSomaticComponent;IsSpell;CannotTargetItems;CannotTargetTerrain;Stealth;IsAttack"
data "UseCosts" "ActionPoint:1"
data "Icon" "Action_SneakAttack_Melee"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Damage_Necrotic_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Damage_Necrotic_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Damage_Necrotic_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Damage_Necrotic_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Necrotic_TargetTouch_PostProcess_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Damage_Necrotic_TargetTouch_Impact_Root_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Necrotic_TargetTouch_Impact_HandFX_Textkey_01:Dummy_HeadFX,Dummy_R_HandFX,Dummy_L_HandFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Necrotic_TargetTouch_Impact_Root_Textkey_PostProcess_01:Dummy_BodyFX:Cast:0:None::None::0:0::::"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;9d86c202-31a5-4ba3-ae60-ec4fbb425665,,;a4112e22-e36f-44ff-828f-81252360da53,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "DisplayName" "hec3896cbg0446g4a71gb804g996da1d413a2"
data "Description" "haac6047dg7df9g4446ga294gc1e176110a93;1"
data "MemoryCost" "1"
