new entry "CL_Throw_ProjectObject"
type "SpellData"
data "SpellType" "Throw"
data "Level" "0"
data "SpellSchool" "Enchantment"
data "Icon" "Spell_Conjuration_MageHand"
data "DisplayName" "hff8fafd2gb71dg4f34g84b6gfdae7081cb47"
data "Description" "h83949c3egba87g4ae6g85f5g8430fe91bfd7"
data "TargetConditions" "not Self()"
data "ThrowableSpellRoll" "ThrowableCheck()"
data "ThrowableSpellSuccess" "IF(Character()):ApplyStatus(PRONE_AFTER_THROW,100,1);"
data "ThrowableTargetConditions" "CanThrowWeight() and not Grounded() and not IsItemDisabled() and not HasAttribute('InventoryBound') and (IsMovable() or Character() or Dead()) and CanMove(context.Target, context.Source, false) and (not IsEquipped() or IsEquipmentSlot(EquipmentSlot.MeleeMainHand) or IsEquipmentSlot(EquipmentSlot.MeleeOffHand) or IsEquipmentSlot(EquipmentSlot.Boots)) and not Tagged('CANT_SHOVE_THROW')"
data "Template" "a82d0147-9ecd-455a-a9ef-c6d2b8119777"
data "Trajectories" "a82d0147-9ecd-455a-a9ef-c6d2b8119777,48362660-28e7-2af1-62fe-49fc4cb6cc70,bfd9fe10-124d-6b01-53e0-824346204638"
data "TargetRadius" "9"
data "AreaRadius" "9"
data "Height" "0"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "DisappearEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_Teleportation_Impact_BodyFX_01:Dummy_BodyFX:VFX_Somatic_03:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "b1befe57-ee3e-4126-8c9d-3b6cec7eb3f4,,;f2803838-31cf-471b-85d1-92fa2d0eb7c2,,;4be0751c-9fca-4c35-9337-6bf8a321c516,,;86b52093-596c-4054-bb1d-2dbdfcdc4347,,;5b4905be-03fd-42fb-9652-c2d1c772f4d3,,;9673b7c5-9928-44ce-ae4f-a85be2683981,,;e81ffae4-6be0-47fd-8502-48b9961004e9,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "InventorySelection;RangeIgnoreVerticalThreshold;IsHarmful;HasHighGroundRangeExtension;IgnoreSilence;IgnoreVisionBlock;AddFallDamageOnLand;AbortOnSecondarySpellRollFail;TrajectoryRules;CombatLogSetSingleLineRoll"
data "SpellActionType" "Throw"
data "HitAnimationType" "MagicalDamage_External"
data "PrepareEffect" "ede0c318-7f5d-43b4-bc73-a50e0a528d55"
data "SpellAnimationType" "Throwing"
data "DamageType" "Bludgeoning"
