new entry "AGTT_Target_DemoralizingTouch"
type "SpellData"
data "SpellType" "Target"
data "Icon" "Status_Frightened"
data "Level" "2"
data "SpellSchool" "Illusion"
data "DisplayName" "h518a5142g4fbbg49ecgb543g6d4722580ae7"
data "Description" "h494276e3g68c0g4630gb5eege914eef8153f"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, 15)"
data "SpellSuccess" "ApplyStatus(FRIGHTENED, 100, 6)"
data "TooltipStatusApply" "ApplyStatus(FRIGHTENED, 100, 6)"
data "TargetConditions" "Character() and not Dead()"
data "TooltipAttackSave" "Wisdom"
data "TargetRadius" "MeleeMainWeaponRange"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Control_Charm_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Control_TargetSingle_Charm_R_HandFX_Textkey_01:Dummy_R_HandFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Control_TargetSingle_Charm_Impact_BodyFX_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetSingle_Charm_Impact_EyeFX_Textkey_01:Dummy_EyeFX_01,Dummy_EyeFX_02:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetSingle_Charm_Impact_HeadFX_Textkey_01:Dummy_HeadFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetSingle_Charm_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "BeamEffect" "VFX_Beams_Control_CharmPerson_Beam_01:Dummy_HeadFX:Dummy_HeadFX:Cast::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Control_CharmPerson_L1to3"
data "VocalComponentSound" "Vocal_Component_CharmPerson"
data "TargetSound" "Spell_Impact_Control_CharmPerson_L1to3"
data "CycleConditions" "Character() and not Ally() and not Dead()"
data "UseCosts" "ActionPoint:1;SpellSlotsGroup:1:1:2"
data "SpellAnimationArcaneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "VerbalIntent" "Control"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;Stealth;CannotTargetItems;CannotTargetTerrain;HasHighGroundRangeExtension"
data "RechargeValues" "5-6"
data "MemoryCost" "1"
