new entry "CL_Target_Hush"
type "SpellData"
data "SpellType" "Target"
data "Icon" "Spell_Enchantment_DissonantWhispers"
data "Level" "2"
data "TargetConditions" "Character() and not Dead()"
data "TargetRadius" "9"
data "SpellSchool" "Illusion"
data "DisplayName" "h252d24e7g4336g443eg80dfg5ac0024ff3a8"
data "Description" "hfc7b1c0aga9f9g4546gacc8g9da25cfe98d9"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, SourceSpellDC())"
data "SpellSuccess" "ApplyStatus(SILENCED, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(SILENCED, 100, 9)"
data "TooltipAttackSave" "Wisdom"
data "UseCosts" "BonusActionPoint:1; SpellSlotsGroup:1:1:2"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Debuff_Hex_L1to3"
data "SpellAnimation" "9313094a-bae2-454f-9701-f920d0e8e98d,,;,,;4148823a-6dbc-4692-a8ff-71520315a10f,,;1b8cdb9d-6f8e-4161-901c-1fd7a7787c7c,,;808fdfab-2e6c-472e-b3c4-19ce4a719d9d,,;,,;ea745d30-eb87-447f-b190-c81298e27d9c,,;,,;,,"
data "PrepareEffect" "556fd141-698d-4c08-9322-ad155821260a"
data "CastEffect" "38776222-db33-4b53-9e23-ca3b47ab58cb"
data "TargetEffect" "b5b72f72-297b-4a96-b215-b5611359555a"
data "PositionEffect" "7db045f9-83ac-4768-88c8-48563b685a9d"data "VerbalIntent" "Debuff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetTerrain"
