new entry "CL_Target_Lucksap"
type "SpellData"
data "SpellType" "Target"
data "ContainerSpells" "CL_Target_Lucksap_Foil;CL_Target_Lucksap_Fumble;CL_Target_Lucksap_Foul"
data "Level" "2"
data "SpellSchool" "Enchantment"
data "Icon" "Spell_Enchantment_Hex"
data "DisplayName" "hfd9fbc4egcaabg4d26ga986g6a3cf65ef932"
data "Description" "h2f97f2bag2cedg451agab31g05591f4979d1;1"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, SourceSpellDC())"
data "TargetRadius" "18"
data "DescriptionParams" "DealDamage(1d8, Necrotic)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Debuff_Hex_L1to3"
data "VocalComponentSound" "Vocal_Component_Curse"
data "TargetSound" "Spell_Impact_Debuff_Hex_L1to3"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "BonusActionPoint:1; SpellSlotsGroup:1:1:2"
data "VerbalIntent" "Debuff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsConcentration;IsSpell;IsConcentration;CannotTargetTerrain;IsLinkedSpellContainer"
data "MemoryCost" "1"
data "PrepareEffect" "db4fd7eb-049e-43d0-95ce-d8f5bc808c0c"
data "CastEffect" "d9cc11d0-ef2a-4c79-aaf4-7916a51f56a6"
data "TargetEffect" "ef1cdb0d-28ae-4989-b8b8-09438f749a00"
