new entry "CL_Target_SpikeGrowth"
type "SpellData"
data "SpellType" "Target"
data "SpellSchool" "Evocation"
data "Level" "2"
data "TargetRadius" "46"
data "AreaRadius" "6"
data "Icon" "unknown"
data "DisplayName" "h01828aa6gea5bg4fa7gbbc0g92d5ed31fe51"
data "Description" "h581722bbgb7b9g4b81ga35dg951264bdf258"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:2"
data "VerbalIntent" "Control"
data "TargetConditions" "IsConcentrating(context.Source))"
data "PrepareEffect" "VFX_Action_Prepare_Intent_Control_EnsnaringStrike_Root_01,Detach:::0:None::None::0:0::::;VFX_Actions_Prepare_EnsnaringStrike_Weapon_01:Dummy_FX::0:None::None::0:0::::;VFX_Actions_Prepare_EnsnaringStrike_Weapon_Overlay_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Debuff_TrueStrike_Somatic_01_Dummy_HandFX_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TrueStrike_Somatic_01_Dummy_CastFX:Dummy_CastFX:VFX_Somatic_02:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TrueStrike_Dummy_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_SurfaceCreationVines"
data "SpellProperties" "GROUND:CreateSurface(6,10,Vines)"
data "SpellAnimationArcaneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "VerbalIntent" "Control"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"
