// Moved from AGtT
new entry "CL_Shout_HearthHeal"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Evocation"
data "SpellProperties" "RegainHitPoints(1d8+WisdomModifier)"
data "TooltipDamageList" "RegainHitPoints(1d8+WisdomModifier)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_intent_Healing_CureWounds_Root_Textkey_01,Detach:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_CureWounds_Impact_CastFX_Textkey_01:Dummy_BodyFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetTouch_Impact_Root_Textkey_01:Dummy_Root:VFX_Somatic_01:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Healing_CureWounds_L1to3"
data "TargetSound" "Spell_Impact_Healing_CureWounds_L1to3"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "SpellAnimation" "414bbf02-2918-4f01-83fb-1ddc7a588d88,,;,,;4156d364-d2c0-4a01-908c-3552f78f434d,,;6f0a29b6-0ae8-4ebf-a1e4-8069c4a6ad16,,;0c5dcc83-fa78-41da-b6a5-440b5ea30936,,;,,;bea988a0-2ec5-40d8-a67e-ffbd7454bc53,,;,,;,,"
data "Icon" "Spell_Evocation_HealingWord"
data "TargetConditions" "Self()"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "DisplayName" "h51b94ed3g01bdg4706g9183gd64620e3b307"
data "Description" "hdd618935g7de3g4420g9bdbg668fa51c06be;1"
data "DescriptionParams" "RegainHitPoints(1d8+WisdomModifier)"
data "SpellFlags" "IsSpell;HasSomaticComponent;"

// FireShield currently broken for unknown reasons
new entry "CL_Shout_FireShield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "2"
data "Icon" "unknown"
data "SpellSchool" "Evocation"
data "DisplayName" "h588da6a0gbe9ag4aa8g9faegfa7fe3d75014"
data "Description" "h4711104bg909dg4fb3gaf30ge644fd97a364;1"
data "DescriptionParams" "DealDamage(2d8, Fire)"
data "ExtraDescription" "he7e3eb29g7383g4012gb659gf77131d8e0fa"
data "SpellProperties" "ApplyStatus(CL_STATUS_FIRESHIELD, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_FIRESHIELD, 100, 9)"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:2"
data "TargetRadius" "MainMeleeWeaponRange"
data "TargetConditions" "Self() and not Dead()"
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_BuffMovement"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184;e9ad50df-e7f1-43a0-b782-4c08f92b0f5a,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "CL_Shout_DismissFireShield"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "unknown"
data "DisplayName" "h54b3b9d4gfa42g4825g9f8fg00d30a120328"
