new entry "CL_Shout_Doot"
type "SpellData"
data "SpellType" "Shout"
data "ContainerSpells" "CL_Shout_Doot_Drum;CL_Shout_Doot_Flute;CL_Shout_Doot_Lute;CL_Shout_Doot_Lyre;CL_Shout_Doot_Violin"
data "Cooldown" "OncePerCombat"
data "TargetConditions" "Self()"
data "Icon" "Action_Perform_Voice"
data "DisplayName" "h32a6c28cga0b5g48e6gbc8ag858ce837bc13"
data "Description" "hd91a9d03g444dg4432g8259g23f1042a02d7"
data "CastSound" "Instrument_Bard_Silence"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "f489d217-b699-4e8e-bf22-6ef539c5d65b,,;,,;7a343ea7-1330-428a-b0b1-9f6dc7f2a91c,,;0f872585-3c6e-4493-a0b5-5acc882b7aaf,,;f9414915-2da7-4f40-bcbd-90e956461246,,;,,;f2a62277-c87a-4ec7-b4f2-c3c37e6e30ae,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellStyleGroup" "Class"
data "SpellFlags" "IsLinkedSpellContainer"
data "SpellAnimationIntentType" "Peaceful"
data "PrepareEffect" "d9038b21-f4cc-4c8a-99c1-6168e1fe46ba"
data "CastEffect" "135cb448-04f9-4543-b670-7bebea4ae21d"
data "Sheathing" "Instrument"
